Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Class,QC,QC,QC,Blank,QC,QC,QC,Class 3,Class 1,Class 2,Class 1,Class 3,Class 3,QC,Class 4,Class 2,Class 4,Class 3,Class 4,Class 4,QC,Class 1,Class 1,Class 1,Class 1,Class 2,Class 2,QC,Class 3,Class 3,Class 4,Class 4,Class 2,Class 2,QC,QC,Blank
1,3782720,4336774,4311342,NaN,4074291,4414071,4224932,NaN,NaN,4036502,3895866,42595327,3524135,4231000,3849680,NaN,NaN,NaN,2838018,NaN,3951754,NaN,3310789,NaN,NaN,3646621,4436447,4006785,2439375,NaN,NaN,NaN,NaN,NaN,3863621,3923980,NaN
2,NaN,NaN,NaN,NaN,2627011,999250,2842274,NaN,NaN,1965033,2302484,3951830,1773719,2116936,1559520,2754058,NaN,NaN,1149827,3493964,644943,NaN,3090855,2668956,2784056,3576641,2643133,2688499,1174770,3080557,2423185,NaN,NaN,NaN,1505488,NaN,NaN
3,9476075,9376787,10092287,NaN,9617925,9425986,9699887,9962849,8944586,8324909,6216842,8772321,8872901,9392300,6871934,8492485,8346484,6498097,9352871,11019307,9793699,9312375,4807554,7530629,16044989,7050025,8603028,10362235,8666292,6270629,7111638,9956916,9802246,6167206,9240911,10283643,NaN
4,4427020,4840294,3968413,NaN,5141392,4545852,4479761,6302548,5786003,3159951,10593481,7572347,4876451,4856585,8217165,5858817,5218824,1587864,6351694,1508575,5262659,5835400,6310515,5859915,6115135,NaN,7377725,4591340,1106644,4289136,898977,5075922,1294984,11376715,5694937,4754837,NaN
5,1120072,613352,792556,NaN,613044,590324,807350,318192,962403,1403653,298523,278289,1759402,805716,1371009,1022282,558834,681394,437138,384357,651513,NaN,815281,1428903,355383,849093,456905,1013461,353984,978824,1018119,563567,543989,624180,390477,583822,NaN
6,5407426,6059735,4953852,NaN,5275688,4564401,5182050,7085963,3658967,4139770,6987157,6702373,3754502,5063618,4812917,3960671,5588385,4775679,4777322,7885104,6242429,4828692,8653752,5591831,6459250,6878699,8245043,5483159,7975790,7948010,6068693,3877588,4293913,5676301,5569916,5483344,NaN
7,573126,570398,608837,1323041,577498,598014,617155,844739,705001,NaN,1173703,1582245,688986,519273,822032,481205,656393,456171,656055,827382,635349,1497364,3064454,630066,1072874,NaN,852299,608302,942966,429878,459910,773283,NaN,NaN,540495,700607,1402281
8,1939118,1845912,1803423,1995210,2063659,2084377,1963493,3113383,537576,605686,5493325,1539887,3084664,1916932,2112299,2744103,1274782,977920,1807424,2017210,2117788,477051,2470322,2819057,4669650,NaN,5209680,1881464,5228484,819210,951372,1627115,1419750,13263522,2308215,2008061,1890897
9,18116362,18018856,18798520,NaN,18716328,18711137,19478791,19087421,14331495,13062323,31223812,29835369,16849640,17421126,18517352,20383826,16758895,14965228,18173938,28757411,18935754,18206058,27440913,14969934,18779165,16367492,24519413,18855958,33512842,28051557,22033000,21822134,15332969,16549325,21015388,19539070,NaN
10,2268846,2235625,2286961,NaN,2732516,2691743,2802454,2881209,2129105,2320027,2993526,NaN,3550301,3830968,2958245,2334152,3267911,2023375,2211049,3033043,2612736,2218787,2993445,1929686,2822114,2762294,2809938,2067915,2760360,2581740,2527140,2914790,1804280,2123720,2125476,2231053,NaN
11,3304048,2879022,3003254,NaN,3421946,3357841,3713884,NaN,4622788,3835915,5856344,8926114,5096911,3330888,4651558,3901449,3305730,3042202,3859297,2569267,3482656,4237383,6261334,4256736,2330395,2045303,3390029,3068055,2954636,NaN,1955571,1910967,4336178,5077122,3151423,2713280,NaN
12,11191126,11771472,11240106,NaN,10014848,11295770,11428127,11552670,10239481,9042895,6562551,10500551,10548433,11096383,7794895,10622862,10198249,7131521,9684051,12654804,10977334,10439435,5871482,7797985,21994193,7619123,10506217,11545629,8982462,6874083,8646001,10554621,10816708,6325071,10806170,10532495,NaN
13,3925278,4226941,4009642,NaN,4214207,4079534,4306936,4032884,2747981,3283400,4542167,4826696,3730864,4061911,3559943,5335586,3954973,5965059,4548034,4226823,3629788,4188626,3131074,3879713,4400061,3476407,2729867,3969408,4645121,3605579,5568467,3992917,4075940,3177245,3603368,3340663,NaN
14,20605159,21791156,21032710,NaN,22300652,21852365,22808626,24052298,19531145,20643534,27877370,30078340,18612834,21872117,19635275,18628669,22166652,17025243,19496212,26650465,24794631,21644459,36464407,18938510,30641876,29723703,47274084,23519161,34216437,39233713,28432597,24176519,17854406,31233705,27225939,23162869,NaN
15,669612,666042,667165,1673260,775931,667260,681348,1718942,2366640,1001748,2239017,2574954,1546495,772067,1853900,1714286,2611995,1027238,612180,2049296,737356,4246875,1672484,1053635,2662033,1713406,2968076,721381,2212633,3040074,2202946,4441064,1746862,2647072,821643,854318,1720694
16,397829,459782,484933,1939267,467455,534628,594257,369592,628889,317663,520898,3627349,406316,466520,624688,733649,427393,NaN,399335,454136,484643,3433748,309812,547016,354377,299107,NaN,438619,794476,419728,NaN,482523,569652,559325,451695,496894,2280063
17,7535724,7102081,7203052,NaN,7641905,9771958,9236975,7195008,8142377,9483608,8724222,5781270,7352576,7683320,7380469,10203562,6178148,9069741,9195436,6502903,7150719,6570145,6554507,9157549,5852544,7425483,2268494,7061964,4633778,4293845,6422502,6105761,8528900,5705187,6701211,6491453,NaN
18,4727666,4881433,4802389,NaN,4364146,4293098,4705270,5760738,4015424,3809240,2883998,2368330,3769291,4721547,3939240,4248930,5787458,4780448,3465539,5701170,4745790,4947047,2867116,4340802,5468098,7579344,4225445,5153294,5966244,5066690,6675457,5574772,3882483,3952150,4291487,5552825,NaN
19,12518022,13039984,12867363,NaN,13941057,13809349,13552923,13888422,10212526,7170642,18261962,94418025,11778354,13799098,10818601,6990222,13727202,8252970,8454196,15206343,15400840,11057252,17013147,9061161,13544479,16228253,20802861,14151141,27237881,20411070,10752135,10346602,7995943,17206985,16633348,13679818,2188004
20,8630568022,8894933800,8733606040,35133079,8949876895,8772924579,9028770135,12858673657,4741414202,4775748018,7057958414,9492710808,7044393054,8525960618,7882831113,2998937319,11962394511,4164786720,4471297803,9714088554,9447208331,9307661428,11332601150,5134804389,9580477845,10541266178,20719042935,8811807903,15741517251,17583084152,10020930186,10193410573,8403664652,5941344481,10181743900,8857950937,39226643
21,1371728,1735582,1898396,628218,2408788,2336586,2754575,3226921,1560760,11467806,2919350,3840398,1229414,1817020,2613733,1596882,3516208,1391520,1221121,1548000,2130641,NaN,2198289,1329690,2637479,1338710,2330564,2539861,1079868,2410713,972371,2272088,2025859,2308006,2027231,2276699,400203
22,528535911,544358117,531534592,2149487,543664589,535744002,546881879,781719252,285827797,290407014,428118636,576034027,428951606,520695718,479511875,182050934,730527446,253996118,271407446,593948644,577390776,564589070,688999643,315639668,585347207,646208218,1273332632,539526166,965828110,1077029018,612131976,621297934,512338854,357481916,622934785,538665563,2217211
23,3026096,2879070,2872846,NaN,3031648,3917234,3852773,2412752,3468709,3747304,2894920,2011219,3028158,2809407,3173578,3880465,2192642,3762612,3904838,2506808,2817474,2415830,2123231,3750048,2270072,2733082,NaN,2715502,1463224,1380319,2437733,2229241,3424415,2047614,2797599,2447098,NaN
24,11150130,10989701,11409402,231320,12515936,12164318,11854225,17620748,8263790,9003179,10870948,11689749,11244204,12437823,10712761,8707041,13103589,9586503,9462447,13912356,11822009,9950723,10097777,9179894,14968720,13718844,14480008,10705543,12698720,11775192,12857628,9485469,9223854,11004418,10537976,10491078,214988
25,2066102,2054609,1914779,NaN,2119260,1933434,2173013,4533801,1830034,2156143,NaN,3008837,1207961,1934618,2515932,3826425,NaN,NaN,4624994,831571,2064244,NaN,1018078,809998,2029388,NaN,1016291,1862172,5560924,NaN,1234923,1226792,4992124,1107182,2497815,2114354,151295
26,1177612,1181870,1118390,3885337,1070301,1260271,20644476,29694180,2398644,585970,1054148,1127910,15894859,1205899,3432119,1115899,846112,1255131,9606006,21602560,954998,1313984,1315530,3161224,21808530,23815013,1423648,1121107,35376838,1501841,22554499,1718439,18274322,2244806,1685254,1143571,3260410
